text_id,n_words,n_vowels,schwa_v1_AH0,oov_g2p_filled,oov_still_missing,oov_fill_rate,register
spoken_telephone_switchboard_22_sw2242-ms98-a-trans,1610,1925,0.14545454545454545,6,1,0.8571428571428571,spoken_phone
spoken_telephone_switchboard_22_sw2243-ms98-a-trans,1755,2105,0.15819477434679335,1,3,0.25,spoken_phone
spoken_telephone_switchboard_22_sw2245-ms98-a-trans,2063,2509,0.13750498206456754,1,3,0.25,spoken_phone
spoken_telephone_switchboard_22_sw2246-ms98-a-trans,1766,2224,0.17850719424460432,0,0,0.0,spoken_phone
spoken_telephone_switchboard_22_sw2248-ms98-a-trans,1283,1516,0.12730870712401055,0,0,0.0,spoken_phone
spoken_telephone_switchboard_22_sw2249-ms98-a-trans,1851,2266,0.15754633715798763,1,3,0.25,spoken_phone
spoken_telephone_switchboard_22_sw2250-ms98-a-trans,1280,1639,0.15558267236119586,0,0,0.0,spoken_phone
spoken_telephone_switchboard_22_sw2251-ms98-a-trans,1422,1762,0.17253121452894438,0,0,0.0,spoken_phone
spoken_telephone_switchboard_22_sw2252-ms98-a-trans,2085,2617,0.1815055406954528,0,2,0.0,spoken_phone
spoken_telephone_switchboard_22_sw2253-ms98-a-trans,2064,2534,0.1665351223362273,0,2,0.0,spoken_phone
spoken_telephone_switchboard_22_sw2254-ms98-a-trans,2120,2613,0.16035208572522006,0,9,0.0,spoken_phone
spoken_telephone_switchboard_22_sw2255-ms98-a-trans,2300,2769,0.13470566991693753,13,4,0.7647058823529411,spoken_phone
spoken_telephone_switchboard_22_sw2256-ms98-a-trans,1019,1243,0.14561544650040226,1,0,1.0,spoken_phone
spoken_telephone_switchboard_22_sw2257-ms98-a-trans,2247,2782,0.15672178289000718,0,2,0.0,spoken_phone
spoken_telephone_switchboard_22_sw2258-ms98-a-trans,2253,2605,0.13128598848368522,0,4,0.0,spoken_phone
spoken_telephone_switchboard_22_sw2260-ms98-a-trans,1994,2371,0.14129059468578659,1,2,0.3333333333333333,spoken_phone
spoken_telephone_switchboard_22_sw2261-ms98-a-trans,1159,1535,0.18501628664495115,0,0,0.0,spoken_phone
spoken_telephone_switchboard_22_sw2262-ms98-a-trans,1539,1894,0.146779303062302,0,1,0.0,spoken_phone
spoken_telephone_switchboard_22_sw2263-ms98-a-trans,1075,1246,0.10192616372391654,0,1,0.0,spoken_phone
spoken_telephone_switchboard_22_sw2268-ms98-a-trans,1500,1739,0.12305922944220817,2,0,1.0,spoken_phone
spoken_telephone_switchboard_22_sw2269-ms98-a-trans,1996,2371,0.1826233656684943,2,4,0.3333333333333333,spoken_phone
spoken_telephone_switchboard_22_sw2270-ms98-a-trans,1422,1669,0.1420011983223487,3,2,0.6,spoken_phone
spoken_telephone_switchboard_22_sw2272-ms98-a-trans,1325,1612,0.1315136476426799,1,0,1.0,spoken_phone
spoken_telephone_switchboard_22_sw2273-ms98-a-trans,2330,2691,0.14418431809736157,0,0,0.0,spoken_phone
spoken_telephone_switchboard_22_sw2274-ms98-a-trans,1454,1743,0.1514629948364888,0,0,0.0,spoken_phone
